"image_path","scanner_model"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s5_5.tif","Canon9000-2"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s5_6.tif","Canon9000-2"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s5_7.tif","Canon9000-2"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s6_10.tif","EpsonV370-1"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s6_11.tif","EpsonV370-1"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s6_3.tif","EpsonV370-1"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s6_5.tif","EpsonV370-1"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s6_6.tif","EpsonV370-1"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s6_7.tif","EpsonV370-1"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s6_8.tif","EpsonV370-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s6_10.tif","EpsonV370-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s6_11.tif","EpsonV370-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s6_12.tif","EpsonV370-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s6_13.tif","EpsonV370-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s6_14.tif","EpsonV370-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s6_15.tif","EpsonV370-1"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s6_9.tif","EpsonV370-1"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s7_21.tif","EpsonV370-2"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s7_23.tif","EpsonV370-2"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s7_24.tif","EpsonV370-2"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s7_25.tif","EpsonV370-2"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s7_27.tif","EpsonV370-2"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s7_10.tif","EpsonV370-2"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s7_11.tif","EpsonV370-2"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s7_12.tif","EpsonV370-2"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s7_4.tif","EpsonV370-2"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s7_5.tif","EpsonV370-2"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s7_6.tif","EpsonV370-2"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s7_7.tif","EpsonV370-2"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s7_8.tif","EpsonV370-2"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s7_9.tif","EpsonV370-2"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s8_1.tif","EpsonV39-1"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s8_2.tif","EpsonV39-1"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s8_3.tif","EpsonV39-1"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s9_2.tif","EpsonV39-2"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s9_3.tif","EpsonV39-2"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s9_4.tif","EpsonV39-2"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s9_5.tif","EpsonV39-2"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s9_6.tif","EpsonV39-2"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s10_10.tif","EpsonV550"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s10_11.tif","EpsonV550"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s10_12.tif","EpsonV550"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s10_13.tif","EpsonV550"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s10_14.tif","EpsonV550"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s10_15.tif","EpsonV550"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s10_16.tif","EpsonV550"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s10_18.tif","EpsonV550"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s10_19.tif","EpsonV550"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s10_20.tif","EpsonV550"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s10_21.tif","EpsonV550"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s10_22.tif","EpsonV550"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s10_23.tif","EpsonV550"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s10_24.tif","EpsonV550"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s10_25.tif","EpsonV550"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s10_26.tif","EpsonV550"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s10_27.tif","EpsonV550"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s11_10.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s11_11.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s11_5.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s11_6.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\150\s11_9.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s11_1.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\300\s11_2.tif","HP"
